Time Node entropy gini t05 enrate ginirate t05rate apa cusum m_cusum
258 evil-leaf-9 4.66817 0.954194 8.44452 0.150132 0.0169698 0.360015 0 1 10.2365
258 evil-leaf-10 4.86975 0.963712 8.97656 0.283318 0.0477943 0.599694 0 1 9.90841
258 good-leaf-11 4.99768 0.966092 9.49536 0.198505 0.0229205 0.46414 0 0 0.147487
258 good-leaf-12 4.58902 0.953004 8.10869 0.130631 0.0157018 0.305928 0 0 0.079745
258 good-leaf-13 4.78171 0.956573 8.84513 0.146713 0.0128425 0.363877 0 0 0.126078
258 good-leaf-14 4.78414 0.960143 8.73338 0.178705 0.0233101 0.406537 0 0 0.117035
258 evil-leaf-15 4.85134 0.962522 8.94646 0.195259 0.0258461 0.440853 0 1 10.0444
258 evil-leaf-16 4.68658 0.955384 8.47463 0.221548 0.0318144 0.498117 0 1 10.6493
258 gw-1 5.40879 0.973338 11.4508 0.156788 0.0191836 0.367567 0 1 9.41031
258 gw-2 5.07348 0.964681 10.1293 0.129719 0.0159943 0.305839 0 1 8.44783
258 gw-3 4.85366 0.953704 9.56682 0.130271 0.0122645 0.342202 0 1 8.84215
258 gw-4 5.20764 0.969522 10.555 0.124447 0.0151875 0.288876 0 0 0.153089
258 gw-5 5.13884 0.967111 10.337 0.0990524 0.0126634 0.234543 0 1 14.1931
258 gw-6 5.17653 0.96572 10.665 0.0933594 0.00574106 0.261181 0 0 0.184998
258 gw-7 5.1819 0.967129 10.5909 0.0860916 0.00720852 0.22804 0 0 0.226608
258 gw-8 5.18176 0.965689 10.6831 0.118858 0.0111742 0.304515 0 1 15.1673
258 gw-9 5.75947 0.976077 13.7321 0.115419 0.0113685 0.29797 0 1 11.7081
258 gw-10 5.56446 0.971547 12.8277 0.105022 0.010036 0.272939 0 1 6.03915
258 gw-11 5.66362 0.97419 13.2498 0.086838 0.00670822 0.242248 0 1 10.3851
258 gw-12 5.63599 0.974174 13.0005 0.0492153 0.00115964 0.158311 0 1 10.6345
258 gw-13 5.97401 0.977851 15.2466 0.0638155 0.00382924 0.18348 0 1 12.1464
258 gw-14 5.96987 0.978456 15.1707 0.018876 0.00146974 0.0944465 0 1 10.5516
258 gw-15 6.14761 0.981202 16.1334 0.0163882 0.000197815 0.0601484 0 1 17.4605
258 gw-16 6.16242 0.981693 16.1785 0.0134199 0.000761172 0.0605199 0 1 16.3925
258 prod-bb-1 6.16209 0.981596 16.1856 0.013366 0.00085918 0.0609836 0 1 16.6423
259 good-leaf-1 4.15239 0.938017 6.5904 0.140812 0.0242538 0.260864 0 0 0.0883336
259 evil-leaf-2 3.26558 0.867769 4.57689 0.340139 0.100666 0.508516 0 1 10.3209
259 evil-leaf-3 4.36852 0.950413 7.13105 0.0810412 0.0101334 0.168925 0 1 10.064
259 good-leaf-4 4.06148 0.933884 6.34062 0.131164 0.0212846 0.250434 0 0 0.0832534
259 evil-leaf-5 4.27761 0.946281 6.88127 0.0384672 0.0118946 0.143481 0 1 10.0845
259 good-leaf-6 4.0958 0.938017 6.38171 0.107479 0.0157267 0.212979 0 0 0.0839524
259 good-leaf-7 4.06148 0.933884 6.34062 0.16802 0.0297531 0.303177 0 0 0.10171
259 good-leaf-8 3.73216 0.913223 5.52891 0.177982 0.0381403 0.311717 0 0 0.0405236
259 evil-leaf-9 4.45943 0.954545 7.38083 0.0447152 0.000368397 0.125962 0 1 10.2687
