Time	normal	yingdui200	yingdui50	lianggeqianzhui	5ge	3ge	1ge	9ge
140	0.267901235	0.97654321	0.987654321	0.988888889	0.990909091	0.968376068	0.98	1
141	0.233333333	1	1	0.961728395	0.973737374	0.993162393	0.972592593	0.984126984
142	0.255555556	1	1.022222222	0.988888889	0.972727273	0.952991453	0.986666667	1
143	0.391358025	0.966666667	0.966666667	0.933333333	0.990909091	0.992307692	0.98	0.984126984
144	0.680246914	0.988888889	0.977777778	0.9	0.963636364	0.968376068	0.978518519	0.985714286
145	0.566666667	0.966666667	0.955555556	0.988888889	0.981818182	0.990384615	0.992592593	1
146	0.7	0.977777778	0.988888889	1	0.980808081	0.974358974	0.994074074	1
147	0.588888889	0.987654321	0.977777778	0.963888889	1.009090909	0.984615385	0.98	0.955555556
148	0.160493827	0.988888889	0.988888889	0.897530864	0.962626263	0.992307692	0.986666667	0.985714286
149	0.055555556	0.97654321	0.97654321	1.001234568	0.980808081	0.943589744	0.973333333	0.971428571
150	0.055555556	0.988888889	0.988888889	0.955555556	1.002272727	1.008547009	0.985925926	1
151	0.4	0.97654321	0.988888889	0.874074074	0.981818182	0.975213675	0.971851852	0.985714286
152	0.469135802	0.988888889	0.964197531	0.944444444	0.98989899	0.976068376	1.005925926	1
153	0.655555556	1	1	0.951851852	0.972727273	0.993162393	0.958518519	0.957142857
154	0.666666667	0.977777778	0.977777778	0.977777778	0.972727273	0.984615385	0.993333333	0.971428571
155	0.666666667	0.97654321	0.988888889	0.988888889	0.945454545	0.968376068	0.986666667	1.001587302
156	0.588888889	0.977777778	1.002469136	0.988888889	1	0.961538462	0.971111111	0.971428571
157	0.233333333	1	0.97654321	0.909876543	0.981818182	0.992307692	0.98	1
158	0.033333333	1.011111111	1	0.944444444	0.990909091	0.976068376	0.972592593	1.014285714
159	0.055555556	0.977777778	1	0.966666667	1	1	1.006666667	0.971428571
160	0.088888889	0.977777778	0.988888889	0.977777778	0.972727273	0.993162393	1.001481481	1.015873016
161	0.260493827	1	0.977777778	0.954320988	0.981818182	0.983760684	0.96	0.968253968
162	0.688888889	0.988888889	0.987654321	0.940740741	0.990909091	0.984615385	1.000740741	0.985714286
163	0.655555556	0.988888889	0.988888889	0.966666667	1.01010101	0.992307692	0.965925926	0.971428571
164	0.555555556	0.988888889	1.012345679	0.975308642	0.988888889	0.984615385	0.978518519	1
