Time Node gini
17 gw-201 0.586907
17 gw-137 0.401995
17 gw-138 0
17 gw-140 0.45805
17 gw-141 0.0915311
17 gw-228 0.321995
17 gw-170 0.726395
17 gw-227 0.277778
17 gw-147 0
17 gw-149 0.375
17 gw-158 0.717305
17 gw-156 0.76565
17 gw-159 0.165289
17 gw-162 0.749507
17 gw-244 0.59762
17 gw-181 0.708333
17 gw-275 0.710449
17 gw-276 0.277778
17 gw-166 0
17 gw-171 0.73387
17 gw-173 0.0973044
17 gw-172 0
17 gw-174 0
17 gw-182 0.277778
17 gw-239 0.32
17 gw-285 0
17 gw-242 0.75
17 gw-229 0.0907029
17 gw-213 0.716049
17 gw-187 0.493827
17 gw-188 0
17 gw-218 0.5
17 gw-207 0.32
17 gw-217 0.592593
17 gw-255 0
17 gw-214 0.592593
17 gw-245 0
17 gw-222 0
17 gw-208 0.244898
17 gw-295 0.277778
17 gw-312 0.640496
17 gw-219 0
17 gw-304 0.5
17 gw-293 0
17 gw-234 0.651766
17 gw-303 0
17 gw-235 0.0915311
17 gw-247 0
17 gw-316 0
17 gw-317 0
17 gw-279 0
18 gw-123 0.625199
18 gw-125 0
18 gw-178 0.0923744
18 gw-195 0.0907029
18 gw-127 0
18 gw-150 0.74513
18 gw-152 0.0923744
18 gw-257 0
18 gw-282 0
18 gw-133 0.244898
18 gw-134 0.244898
18 gw-202 0.592593
18 gw-262 0
18 gw-236 0.340833
18 gw-237 0
18 gw-203 0
18 gw-200 0.496768
18 gw-201 0.614094
18 gw-137 0.391655
18 gw-138 0
18 gw-140 0.561787
18 gw-141 0.0936689
18 gw-228 0.311575
18 gw-170 0.742372
18 gw-227 0.277778
18 gw-147 0
18 gw-149 0.394449
18 gw-158 0.722506
18 gw-156 0.771912
18 gw-159 0
18 gw-162 0.749307
18 gw-244 0.601022
18 gw-181 0.708333
18 gw-275 0.710059
18 gw-276 0.277778
18 gw-166 0
18 gw-171 0.739862
18 gw-173 0.101233
18 gw-172 0
18 gw-174 0
18 gw-182 0.277778
18 gw-239 0.32
18 gw-285 0
18 gw-242 0.75
18 gw-229 0.0919508
18 gw-213 0.716049
18 gw-187 0.5
18 gw-188 0
18 gw-218 0.5
18 gw-207 0.32
18 gw-217 0.592593
18 gw-255 0
18 gw-214 0.592593
18 gw-245 0
18 gw-222 0
18 gw-208 0.244898
18 gw-295 0.277778
18 gw-312 0.625
18 gw-219 0
18 gw-304 0.5
18 gw-293 0
18 gw-234 0.633136
18 gw-303 0
18 gw-235 0.0923744
18 gw-247 0
18 gw-316 0
18 gw-317 0
18 gw-279 0
19 gw-123 0.593339
19 gw-125 0
19 gw-178 0.0907029
19 gw-195 0.0923744
19 gw-127 0
19 gw-150 0.72498
19 gw-152 0.0915311
19 gw-257 0
19 gw-282 0
19 gw-133 0.244898
19 gw-134 0.277778
19 gw-202 0.592593
19 gw-262 0
19 gw-236 0.526018
19 gw-237 0
19 gw-203 0
19 gw-200 0.573689
19 gw-201 0.579696
19 gw-137 0.242339
19 gw-138 0
19 gw-140 0.621315
19 gw-141 0.0915311
19 gw-228 0.316843
19 gw-170 0.720662
19 gw-227 0.277778
19 gw-147 0
19 gw-149 0.375
19 gw-158 0.690335
19 gw-156 0.762808
19 gw-159 0
19 gw-162 0.749507
19 gw-244 0.542967
19 gw-181 0.708333
19 gw-275 0.710059
19 gw-276 0.277778
